Reservation-id,Income,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Eth__African American,Eth__caucasian,Country_R__North,Hotel_T__Airport Hotels,Hotel_T__Resort,Meal_T__BB,Meal_T__FB,Meal_T__HB,week_end/day,Reservation_Status
4845332,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
96798559,3,2,0,0,0,1,0,1,0,0,1,1,0,0,0,1
75344429,3,3,0,0,0,1,0,1,0,0,1,1,0,0,1,1
89456553,3,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1
97707055,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1
66082028,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
59992741,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
67830167,2,2,0,0,0,1,0,1,1,0,1,1,0,0,0,1
61148490,2,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1
8374938,3,3,0,1,1,1,0,0,0,1,0,1,0,0,0,1
12091786,2,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1
7675104,2,2,2,0,0,0,0,1,0,1,0,1,0,0,1,1
44467998,1,2,1,1,0,0,0,1,0,0,0,1,0,0,1,1
54294175,3,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1
37285949,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
52449633,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
43700894,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
19868896,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
64763276,2,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1
50935350,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
59376256,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
2454990,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
66392370,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
41050783,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1
4295644,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
41547218,3,2,1,1,1,0,0,0,0,0,1,1,0,0,1,1
5293613,2,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1
16778927,3,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1
44624415,2,2,1,0,0,1,1,0,0,0,1,1,0,0,0,1
1691869,4,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
89215770,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
20176010,3,1,2,0,0,1,0,1,0,0,0,1,0,0,1,1
40028695,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11260215,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
76318666,2,2,0,1,1,1,0,0,1,0,1,1,0,0,1,1
56252511,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1
15611316,2,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1
27064774,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
46967349,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1
70161171,3,2,0,1,0,0,0,1,1,0,1,1,0,0,0,1
81928060,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
20965226,1,1,2,1,1,0,0,1,0,0,1,1,0,0,1,1
99218933,3,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1
18472049,1,2,0,1,1,1,0,1,1,0,0,0,0,1,1,1
54997115,2,2,0,1,0,1,0,0,1,1,0,1,0,0,1,1
47708934,1,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1
31956359,3,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
85101864,3,3,0,0,0,1,0,0,0,1,0,1,0,0,1,1
76679894,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
99030960,3,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
22908824,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
95121154,2,2,0,0,0,1,0,0,1,0,1,1,0,0,1,1
93260803,3,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1
65748594,3,2,0,0,0,0,1,0,0,1,0,0,0,1,1,1
70197598,3,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1
75393812,3,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1
35573319,3,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
15775355,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1
20372189,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
14138784,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,1
75668801,2,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1
85923736,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1
91219,3,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1
45482058,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
91798772,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
52430955,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1
56511978,1,2,0,1,1,1,1,0,1,0,1,1,0,0,0,1
4371916,4,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1
61280116,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
8903936,3,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1
49894109,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
36479325,4,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1
95145544,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1
78688371,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
50136772,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
8142106,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1
12737635,2,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1
70828688,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
45133192,3,2,0,1,0,0,1,0,1,0,0,1,0,0,1,1
60357244,2,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1
20431537,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
85494342,2,3,1,0,0,0,1,0,1,0,1,0,0,1,1,1
11120982,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
51131903,2,1,2,0,0,1,0,0,0,1,0,1,0,0,1,1
89674363,4,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1
23053437,3,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1
6558091,3,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
10383391,3,2,1,1,0,0,0,0,1,0,1,1,0,0,0,1
79042826,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1
24397112,3,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1
57110940,1,2,0,1,1,1,1,0,0,0,1,0,0,1,1,1
58986042,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1
28336528,4,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
52268748,4,2,1,0,0,1,0,0,1,0,1,1,0,0,1,1
30401013,3,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1
45608680,3,2,0,0,0,1,0,1,0,1,0,1,0,0,1,1
68485421,3,3,0,0,0,1,0,1,0,1,0,0,0,1,1,1
33603045,3,2,0,1,1,0,0,1,0,0,1,1,0,0,1,1
14999192,1,2,0,1,1,1,0,0,0,0,0,1,0,0,1,1
98707595,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
13605689,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10893318,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1
90856125,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3777304,2,2,1,1,0,1,1,0,1,1,0,1,0,0,0,1
28290541,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1
31585233,4,3,1,1,0,1,0,1,0,0,0,0,0,1,0,1
7941843,4,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
83263158,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
51480633,2,2,1,0,0,0,1,0,0,0,1,1,0,0,1,1
42398549,3,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1
68883489,1,2,0,1,1,1,0,0,0,0,0,0,0,1,1,1
72085848,2,2,0,1,1,1,0,0,0,1,0,1,0,0,1,1
98680910,2,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
54747143,2,2,2,0,0,1,0,0,0,0,1,0,0,1,1,1
29635766,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
80776785,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
3897824,4,3,2,1,1,0,1,0,0,0,1,1,0,0,0,1
57380074,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1
20431534,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
86100499,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1
28653232,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
83742408,3,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1
82466505,3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,1
62983381,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
24210202,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1
59850145,2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1
98347850,2,3,2,1,0,1,0,0,0,0,1,1,0,0,1,1
43019100,3,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
99276903,1,3,0,1,1,1,1,0,1,1,0,1,0,0,0,1
30557290,4,2,1,1,0,1,1,0,0,0,1,1,0,0,0,1
12469720,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19440779,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1
2239154,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
49997740,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
34383826,2,2,0,1,0,1,0,1,0,0,0,1,0,0,1,1
816322,3,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1
82941308,1,3,1,1,0,1,0,1,1,0,1,1,0,0,1,1
40910263,3,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1
20209191,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1
85349504,3,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1
78481765,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1
89006080,2,2,1,0,0,1,0,1,0,0,1,0,0,1,0,1
86495634,1,3,1,1,0,1,1,0,0,0,1,1,0,0,1,1
6624391,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1
55512908,3,2,0,0,0,1,0,1,0,0,1,1,0,0,1,1
55385979,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
380789,2,2,0,0,0,1,0,1,0,1,0,1,0,0,1,1
25098291,4,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1
86358355,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
6248351,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
72056647,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
65779205,3,2,0,1,0,1,0,1,0,0,1,1,0,0,0,1
54631509,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1
15615566,4,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1
30552691,3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
36123322,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0,1
69945654,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1
91794758,2,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1
95680707,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1
48783306,2,2,0,1,0,1,0,1,0,1,0,1,0,0,0,1
63229118,2,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1
91902144,3,3,0,0,0,0,1,0,0,1,0,1,0,0,1,1
66735769,3,3,0,1,0,1,0,1,0,0,1,1,0,0,1,1
86450009,2,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1
54849806,3,2,2,1,0,1,0,0,0,1,0,1,0,0,1,1
11537366,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
87773103,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
74188009,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
96301918,4,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1
92394493,4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
42657112,4,2,0,1,0,1,1,0,1,0,0,1,0,0,1,1
41168421,2,2,2,0,0,1,1,0,0,0,1,1,0,0,0,1
35082664,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1
46502728,3,2,2,1,1,1,0,1,0,1,0,1,0,0,0,1
51861124,4,3,2,0,0,1,0,0,0,1,0,1,0,0,0,1
27735758,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
99684453,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1
23404317,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1
17453851,2,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1
84880360,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
70812295,2,3,0,1,0,1,1,0,0,1,0,1,0,0,1,1
83527596,1,2,0,1,1,1,0,0,1,1,0,1,0,0,1,1
72371630,3,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1
32186266,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1
20964898,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
30200798,3,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1
21487036,1,3,2,0,0,1,1,0,0,0,1,0,0,1,1,1
38263951,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
84434442,3,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1
20693688,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1
40467676,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1
71008450,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1
31931907,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
57199759,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
92264645,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
76278914,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
85583467,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1
74277729,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
38621723,2,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1
90236845,2,1,2,1,0,0,0,0,0,1,0,0,0,1,1,1
39965866,4,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1
49587860,1,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1
61864192,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1
26148585,4,2,0,0,0,1,0,0,1,0,1,0,0,1,1,1
21455733,3,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1
79126361,1,3,1,0,0,0,1,0,0,1,0,1,0,0,1,1
47970298,2,2,0,0,0,1,1,0,0,1,0,1,0,0,1,1
5836121,2,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1
58520588,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1
80541317,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1
11489870,4,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
43887392,3,3,0,0,0,1,1,0,0,1,0,0,0,1,1,1
54951921,2,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1
73437024,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1
23933263,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
24658511,1,3,0,1,1,1,0,1,0,0,1,1,0,0,0,1
52241192,2,2,0,0,0,1,1,0,0,0,1,0,0,1,1,1
52771262,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1
94323201,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
37021657,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
59233205,2,2,2,0,0,1,0,1,1,0,0,1,0,0,0,1
16747880,2,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1
69638432,2,2,0,0,0,1,0,1,1,0,1,1,0,0,0,1
40229787,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
92696639,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1
4880760,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
50945251,2,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1
69987619,4,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1
48742153,4,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1
48724756,3,3,1,1,0,1,0,0,1,1,0,1,0,0,0,1
68362415,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
55193724,1,3,1,1,0,1,0,0,0,0,0,1,0,0,0,1
91408352,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1
35312383,4,2,1,0,0,1,0,0,1,1,0,0,0,1,1,1
75324074,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
70551731,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1
20338166,3,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1
37962478,2,3,1,0,0,1,0,0,0,0,1,1,0,0,1,1
56232021,4,3,0,0,0,1,0,0,1,1,0,1,0,0,1,1
21330134,4,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1
53403212,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
24228277,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
37578286,2,2,1,1,1,1,0,1,1,1,0,1,0,0,0,1
7031216,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
65300358,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
20740451,3,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1
66263131,2,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1
26661465,4,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
10490737,2,3,0,0,0,1,0,0,1,0,1,1,0,0,1,1
60842071,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
66362812,3,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
54930066,3,1,2,0,0,0,1,0,0,1,0,1,0,0,1,1
21905005,2,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
65137690,4,2,0,0,0,1,0,1,0,1,0,1,0,0,1,1
83328436,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1
73845650,3,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1
937888,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1
44726479,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1
69095091,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1
78048793,4,2,0,1,1,1,0,0,0,1,0,0,0,1,0,1
40753756,3,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1
8269467,3,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
59595468,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1
23126534,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1
46489680,3,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1
63203522,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
62004838,4,2,0,1,0,1,0,1,0,1,0,1,0,0,0,1
68882341,3,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1
96507770,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1
52776450,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
94805829,2,3,0,0,0,1,1,0,0,0,1,0,0,1,0,1
52970950,3,2,0,1,0,1,0,1,0,1,0,1,0,0,0,1
67790560,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,1
31188538,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4061671,3,2,0,1,1,1,0,1,0,0,1,1,0,0,1,1
74424021,2,3,0,1,0,1,0,0,1,0,0,1,0,0,1,1
43156647,1,3,0,0,0,1,0,1,0,1,0,1,0,0,1,1
4536787,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
27932152,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1
96927908,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
48833434,3,3,0,0,0,0,0,1,0,1,0,1,0,0,0,1
60760596,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1
58205556,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
55320235,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
40762398,1,2,1,1,1,0,0,0,1,1,0,1,0,0,0,1
15359501,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
81064477,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
77175875,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,1
31446312,3,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
21758467,1,2,1,0,0,1,1,0,1,1,0,1,0,0,0,1
18217247,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
16567671,1,2,0,1,0,1,1,0,0,1,0,1,0,0,0,1
82737985,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
16185004,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
48216863,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
28700863,2,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1
80098789,2,2,0,1,0,0,1,0,0,1,0,1,0,0,0,1
39073476,2,2,0,0,0,1,1,0,1,0,1,0,0,1,0,1
62532429,2,3,0,0,0,0,0,1,1,0,1,1,0,0,1,1
81983402,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
87150695,1,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1
41527476,4,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
997391,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1
35871902,4,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
53566945,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1
76376405,4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1
58305292,4,2,0,0,0,1,1,0,0,0,1,1,0,0,1,1
50797436,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
74051718,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1
63739827,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1
66928530,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
21975627,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
24371253,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
